Attendance,Internal_Marks,Assignment_Marks,Study_Hours,Previous_Results
79,19,19,6,Second Class
57,25,22,5.8,Distinction
97,14,19,7.6,Distinction
96,19,20,6.6,First Class
78,15,14,5.7,First Class
75,30,23,3,First Class
67,26,20,3.4,First Class
55,28,7,4.6,Second Class
85,23,8,2.3,Second Class
93,30,20,7.8,Distinction
81,23,13,4.3,Second Class
82,24,15,3.9,Second Class
83,21,17,6.1,First Class
61,19,16,5.4,Second Class
68,15,15,1.5,Pass
83,23,16,4.6,First Class
57,24,14,5.6,Second Class
67,24,14,2.6,Second Class
56,23,15,2.5,Second Class
81,21,16,6.8,First Class
79,16,19,4.7,First Class
71,18,12,4.6,Second Class
56,28,21,0.9,Pass
52,23,25,2.6,Second Class
95,20,21,6.9,First Class
88,27,11,4.7,First Class
75,16,13,5.1,Second Class
96,23,23,7.6,Distinction
30,18,19,2.4,Pass
85,22,16,8.5,First Class
92,22,17,4.3,Second Class
72,15,19,5.2,Second Class
87,17,9,5.8,Second Class
54,23,21,3.4,Second Class
98,15,20,5.9,First Class
73,18,14,4.7,Second Class
50,26,15,6.6,First Class
100,25,12,2.3,Second Class
69,14,12,5,Pass
74,23,13,6.2,First Class
91,25,16,4.7,First Class
81,14,21,3.9,First Class
78,19,17,7.9,First Class
49,21,22,8.2,Distinction
43,21,15,4.6,Pass
71,16,25,5.1,Second Class
56,27,19,7.3,First Class
68,18,14,4.2,Second Class
67,23,20,4.1,First Class
81,24,17,5.3,First Class
62,23,21,4.5,First Class
72,18,17,5.8,Second Class
66,20,18,2,Second Class
79,23,15,5.6,Second Class
64,26,12,3.7,Second Class
85,15,15,2.8,First Class
71,19,17,6.7,Second Class
59,23,14,2.1,Pass
77,24,25,1.7,Second Class
57,27,13,2,Second Class
64,28,18,3.7,First Class
87,30,15,4.4,Distinction
92,23,14,2.9,Second Class
60,21,12,6.4,Pass
63,19,19,6,Second Class
78,17,18,2.6,Second Class
97,30,21,2.9,First Class
61,19,10,3.7,Second Class
100,24,18,6.3,First Class
62,26,16,4.3,First Class
46,28,14,6.1,First Class
86,27,13,6.7,Distinction
96,19,22,6.5,First Class
90,20,21,4.8,First Class
76,27,17,6.2,Distinction
62,27,23,6,Distinction
62,28,11,5.3,First Class
65,25,14,6.3,Second Class
69,19,17,1.6,Second Class
80,20,23,5,First Class
79,30,18,2.9,First Class
81,22,14,3.4,Pass
82,18,14,6,First Class
59,20,15,6,Second Class
63,24,15,2.9,Second Class
61,21,22,4.6,Second Class
68,14,18,7,First Class
100,21,18,2.8,Distinction
90,27,19,4.7,Second Class
94,25,18,3.3,First Class
79,23,13,2.8,Second Class
73,17,24,4.1,Second Class
79,29,14,4.6,Second Class
91,24,18,5.6,Distinction
73,19,15,7.1,First Class
82,19,19,6.2,First Class
73,24,19,4,First Class
49,25,17,8.1,Second Class
78,25,14,6,First Class
83,21,4,5.2,Second Class
64,15,19,5.8,First Class
63,28,17,4,First Class
88,19,23,5,Second Class
58,27,15,5.2,First Class
73,27,15,2.8,Pass
73,21,22,3.6,First Class
71,30,13,4.2,First Class
93,26,12,7.2,Distinction
51,19,16,3.4,Second Class
83,28,13,1.7,First Class
76,26,20,5.3,Distinction
76,23,25,7.6,First Class
51,29,15,4.7,Second Class
80,20,12,1.4,Fail
59,28,13,5,First Class
95,19,20,4.2,Second Class
89,23,13,5.4,First Class
77,17,16,5.6,First Class
72,17,19,7.5,Second Class
83,27,21,7.7,Distinction
96,29,14,5.6,Distinction
65,20,9,6.4,First Class
92,29,15,4.7,Distinction
91,18,8,4.5,Second Class
76,27,11,5.5,Second Class
100,22,19,2.9,Second Class
61,17,22,2.7,Second Class
81,21,7,3.9,Second Class
83,23,11,5.3,First Class
68,24,14,1,Pass
65,28,20,4.9,First Class
83,29,13,3.7,Distinction
82,20,22,6.1,First Class
79,22,24,6.2,Distinction
77,25,11,2.1,Second Class
81,20,9,2.8,Second Class
77,19,13,5.5,Second Class
73,19,18,5.6,Second Class
100,19,18,1.9,Second Class
89,26,18,3.7,First Class
60,27,6,4.2,Second Class
94,21,22,7.9,Distinction
50,18,15,5.8,Second Class
55,26,13,4.3,Second Class
73,30,22,2.4,Second Class
92,23,20,5.1,Distinction
87,26,14,6.2,Second Class
71,19,14,3.1,Pass
94,21,16,6,Distinction
95,20,18,3.2,First Class
75,27,20,6.6,Distinction
76,16,18,8.4,First Class
65,25,24,2.9,Pass
66,22,16,4.5,Second Class
65,18,18,6.1,Second Class
99,24,19,4.4,First Class
58,30,23,4.5,Second Class
70,25,15,3.4,Second Class
62,29,21,6.3,First Class
78,28,9,5.4,Distinction
100,17,18,7.1,Distinction
47,12,18,6,Pass
70,28,23,3.8,First Class
58,30,11,2.9,Second Class
59,28,25,5.5,First Class
86,17,22,4.9,First Class
65,21,11,5,First Class
47,17,15,4.4,Pass
74,23,17,1.6,Second Class
93,23,10,5.5,First Class
60,22,22,8.2,First Class
83,21,15,7.8,Distinction
84,19,23,7.1,First Class
91,23,18,1,Second Class
90,18,20,2.3,Pass
100,27,16,5.4,First Class
80,28,15,6,Second Class
100,27,17,4.3,Distinction
67,24,16,3.2,First Class
69,24,16,4.7,First Class
65,26,17,6.7,Distinction
93,20,20,4.7,First Class
64,20,20,4.3,Second Class
88,24,12,5.2,First Class
91,19,13,4.3,First Class
86,11,20,0.6,Second Class
88,20,17,6.3,First Class
82,21,16,8.1,Second Class
76,15,16,3.6,First Class
67,21,15,6.8,Second Class
65,30,20,5.5,Distinction
66,18,14,7.4,Second Class
93,19,10,3.4,Second Class
93,29,18,6.4,First Class
79,22,16,3.7,First Class
92,30,16,3.4,Distinction
70,19,11,5.8,Second Class
88,23,19,6.1,Distinction
93,26,18,3.9,Distinction
66,21,14,9.3,First Class
85,25,21,4.9,First Class
72,8,14,7.7,Pass
77,30,13,4,First Class
45,18,11,6.1,Second Class
43,26,21,4.3,First Class
84,17,18,5.4,Second Class
60,24,25,4.9,First Class
59,21,16,4.2,Second Class
74,19,22,9.1,First Class
70,24,19,3.5,Second Class
84,14,25,5.6,First Class
73,17,24,4.8,Second Class
100,27,16,5.9,Distinction
70,21,18,7.2,Distinction
42,30,21,5,First Class
47,28,13,6.3,Second Class
51,24,19,3.1,First Class
100,24,19,3.5,First Class
69,22,17,4.6,Distinction
84,17,12,1.5,Pass
84,21,14,6.2,First Class
81,22,17,2.4,Pass
63,18,14,4.7,Second Class
55,21,18,4,Second Class
80,24,16,5.8,First Class
46,27,15,6.3,Pass
68,14,16,5.4,Second Class
75,16,22,2.3,Second Class
63,19,11,7.2,First Class
76,21,13,4.8,Second Class
76,24,16,5.8,First Class
87,30,11,2.5,Second Class
72,14,15,6.7,First Class
100,26,21,3.9,First Class
88,26,9,2.2,Second Class
62,29,24,5.7,Distinction
100,24,19,5.7,Distinction
95,26,17,4.2,First Class
50,24,18,5.6,Second Class
82,23,17,5.7,First Class
53,24,8,6.2,First Class
81,26,24,7.1,Distinction
62,20,19,1.8,Second Class
76,28,21,6.5,Distinction
76,23,20,7,First Class
82,22,18,7.3,First Class
61,17,15,6.2,Second Class
66,26,18,6.4,Distinction
100,24,18,7.2,Distinction
70,16,20,5.5,First Class
83,19,15,7.1,First Class
63,21,19,4,First Class
87,15,18,8.1,Distinction
68,22,12,6.1,First Class
79,17,20,8.7,Distinction
80,22,21,4.7,Second Class
49,29,22,4.7,Second Class
70,16,16,8.5,Second Class
63,15,18,3.1,Second Class
70,30,19,6,First Class
75,24,18,5.7,First Class
57,10,13,7,Second Class
92,24,18,5,Second Class
78,19,15,3,Second Class
89,26,13,5.5,First Class
45,27,14,6.2,Second Class
87,28,18,6.1,First Class
70,16,21,7.4,First Class
76,19,12,4,Pass
46,23,13,4.9,Pass
76,19,14,6.7,First Class
79,22,19,3.4,First Class
72,26,15,6.5,First Class
66,26,15,3.7,Second Class
59,24,16,4.4,First Class
88,23,9,6,Second Class
62,21,23,0.5,Pass
64,25,10,3.4,First Class
88,19,21,5.2,Second Class
64,19,13,5.9,First Class
53,25,13,4.9,Second Class
90,22,18,8.3,Distinction
91,26,19,8.3,Distinction
65,23,19,2.2,Second Class
100,16,19,5.6,First Class
63,18,17,3.7,First Class
78,26,13,6.2,Distinction
74,16,22,4.1,Second Class
58,16,19,3.3,Pass
69,24,21,7.5,First Class
90,18,24,6.2,First Class
51,27,15,3.8,Second Class
66,24,19,5.1,Distinction
56,23,12,6.1,First Class
77,25,19,6,First Class
88,30,21,4.5,Distinction
79,28,20,7.9,First Class
63,25,16,4.3,First Class
67,24,19,4.5,Pass
47,21,25,3.6,Second Class
100,22,19,5.6,First Class
62,19,17,3.5,Second Class
79,28,25,3.6,Distinction
60,19,10,8.5,Second Class
89,17,8,8.4,Second Class
59,28,17,4.6,First Class
71,26,12,7.9,First Class
78,18,14,4.4,First Class
71,23,15,7.6,Second Class
50,29,8,8.4,First Class
82,24,14,6,Distinction
93,18,22,2.7,Second Class
77,28,11,7.1,First Class
50,27,15,1,Second Class
50,20,12,3.4,Second Class
85,14,16,5.1,First Class
82,16,12,6.3,First Class
66,19,19,5.6,Pass
71,26,11,6.7,Second Class
78,18,11,5.4,Second Class
98,26,11,5.7,Distinction
88,30,25,3.6,Distinction
100,28,14,2,Second Class
85,21,16,3.8,Second Class
84,22,19,1.7,First Class
93,27,9,6.8,First Class
81,28,21,6.5,Distinction
77,18,15,5,First Class
59,26,17,4.1,Second Class
68,24,16,6.5,Second Class
53,17,21,4.7,Second Class
84,25,15,2.1,Second Class
52,22,14,5.6,Second Class
70,25,25,1.3,Distinction
60,15,13,6.5,Second Class
66,19,14,6.2,First Class
71,19,15,0.5,Pass
81,20,15,7.2,First Class
81,25,18,7.6,First Class
75,11,15,9,Second Class
58,22,20,6.4,Second Class
100,22,22,8.2,Distinction
53,25,18,5.1,First Class
73,30,5,7.5,First Class
73,17,22,2.7,Second Class
92,14,18,5.6,First Class
68,25,21,4.4,Distinction
58,19,22,4.6,Second Class
68,30,20,3.1,Second Class
97,23,15,3.2,Second Class
55,24,15,8.3,First Class
66,17,22,4.3,Distinction
76,15,9,3.5,Second Class
71,9,14,4.4,Second Class
81,21,18,9.4,Distinction
64,25,22,9.7,Distinction
70,24,15,5.3,Second Class
75,15,20,6.6,Second Class
86,19,23,7,Distinction
84,17,9,5.3,Pass
78,15,20,6,Second Class
61,24,21,5.5,Second Class
77,21,15,2.2,Second Class
63,21,9,6.7,Second Class
76,30,23,6.3,First Class
74,24,18,5.3,First Class
85,28,20,3.6,First Class
75,24,15,5,First Class
67,24,21,8.5,Distinction
69,28,11,5.8,First Class
67,30,15,5.5,First Class
75,15,18,4.3,Second Class
75,24,19,2,Second Class
100,12,13,3.6,Pass
48,17,22,4.3,Pass
72,24,19,5.1,Distinction
79,24,15,3.3,Second Class
56,25,18,3.7,Second Class
91,21,17,5.6,First Class
64,10,9,5.7,Pass
70,13,14,5.2,Second Class
59,16,25,4.5,Second Class
55,18,16,2.7,Pass
58,18,14,1.7,Fail
77,17,16,4.7,Second Class
87,19,12,5.4,First Class
70,22,16,4.7,First Class
69,25,19,9.3,First Class
92,26,12,6.1,Distinction
66,10,20,2.4,Pass
48,25,10,3.8,Pass
75,15,19,6,Second Class
71,8,23,4.5,Second Class
78,22,20,3.7,First Class
99,23,16,7,Distinction
69,20,18,6.5,Second Class
87,30,19,4.9,Distinction
68,16,14,2.3,Second Class
68,13,19,5.7,Second Class
55,16,24,3.8,Second Class
77,15,11,6,Second Class
71,27,11,4.9,First Class
88,21,19,6.2,First Class
53,26,17,8.6,First Class
90,26,19,5.1,First Class
71,20,17,2.9,Second Class
100,18,19,1.2,Second Class
79,17,19,5.2,First Class
77,24,16,2.8,Distinction
78,24,17,2.1,Second Class
50,29,19,4.3,Second Class
63,21,12,6.7,Second Class
71,21,8,6.6,Second Class
42,20,16,2.9,Second Class
93,24,11,3.6,Second Class
78,17,18,6.6,First Class
78,21,11,9.4,Distinction
74,24,12,4.2,Second Class
66,30,18,3.8,First Class
79,14,19,4.9,First Class
80,19,14,7.8,First Class
84,25,17,2.8,Distinction
72,28,17,7.2,First Class
55,21,15,6.3,First Class
52,18,11,3.5,Pass
66,28,19,3.3,First Class
89,23,16,8.9,Distinction
59,23,14,6.8,Second Class
65,19,19,2.9,Second Class
43,26,6,5.4,Second Class
68,27,22,7.1,Distinction
80,20,18,7.2,First Class
39,14,24,3.4,Pass
89,26,19,5.3,Second Class
100,20,21,5.3,First Class
71,21,24,2.4,First Class
100,19,17,2.7,First Class
58,25,9,3.3,Second Class
58,21,12,5.2,Pass
59,23,9,6.3,Second Class
99,19,13,5.2,First Class
38,19,22,2.9,Pass
51,20,12,5.9,Pass
68,21,15,4.5,Second Class
62,28,19,5.8,Distinction
81,20,19,4.5,Distinction
78,22,23,6.6,First Class
82,16,16,5.4,Second Class
73,17,19,6.1,Second Class
75,24,19,5.7,First Class
84,26,19,4,First Class
65,19,18,5.1,Second Class
83,18,19,2.3,First Class
82,24,17,2.3,Second Class
76,20,18,7.1,First Class
61,25,15,5.8,First Class
67,29,16,5.1,Distinction
78,18,16,5.5,Second Class
67,27,16,8.5,First Class
60,21,21,3.8,First Class
75,24,14,5.1,First Class
91,20,11,2.8,Second Class
85,18,13,4.4,Second Class
74,16,16,6.9,First Class
81,18,16,2.5,Second Class
88,21,15,3.3,Second Class
100,18,18,6.8,First Class
55,24,23,5.3,First Class
74,11,18,4,Pass
94,17,17,2.5,Second Class
54,23,17,6.5,Second Class
68,18,20,1.5,Pass
82,23,11,7.2,First Class
90,20,17,5.4,First Class
100,21,18,3.7,First Class
73,18,13,5.1,Second Class
100,21,14,6.2,Distinction
51,28,13,4,Second Class
68,15,15,4.3,Second Class
79,23,17,7.6,First Class
93,23,14,2.3,Pass
69,16,17,7.6,Pass
85,14,10,9.5,First Class
30,29,16,8,Second Class
78,23,9,5.3,First Class
61,25,20,5,First Class
85,30,18,7.1,Distinction
85,24,19,6.5,First Class
70,13,18,2.7,Pass
69,25,19,5.9,First Class
79,18,23,8.2,First Class
56,16,13,3.1,Pass
78,26,18,5.4,First Class
98,30,14,5.6,Distinction
71,19,12,4.5,Second Class
96,27,18,7.7,Distinction
73,15,22,7,Second Class
56,30,18,2.8,Second Class
84,27,20,8.2,Distinction
82,28,15,3.8,Second Class
86,18,18,5.2,Second Class
69,27,23,4.2,First Class
100,22,15,4.3,First Class
74,22,12,3.4,First Class
81,27,10,3.8,First Class
85,30,18,3.2,First Class
55,29,16,3.7,First Class
95,20,15,5.6,Second Class
82,25,18,6.4,First Class
78,29,17,8.2,Distinction
71,22,14,7.4,Distinction
71,23,19,5.2,First Class
85,15,14,5.5,Second Class
78,25,22,2.9,Second Class
91,22,18,7.4,First Class
97,23,12,7.4,Distinction
98,21,20,6.1,First Class
100,17,25,4.9,First Class
71,29,24,5.4,First Class
65,25,8,1.8,Second Class
80,20,15,1.6,Second Class
73,23,19,1.1,First Class
43,25,15,7,First Class
72,20,10,4.8,Second Class
61,16,17,4.2,Second Class
67,15,14,5.1,Pass
95,21,16,5.3,First Class
85,18,14,8.9,Second Class
60,18,21,5.6,First Class
62,24,13,3.9,Second Class
64,17,18,5.6,Second Class
68,24,18,7.9,First Class
80,25,13,2.8,Second Class
81,21,18,5.2,First Class
84,20,20,6.2,Second Class
71,30,25,4.9,Distinction
50,23,17,3.9,First Class
78,17,13,6.5,Second Class
61,14,16,6.2,Second Class
79,30,12,5.4,First Class
50,21,13,5.5,Second Class
85,30,16,3.7,First Class
81,17,21,8.3,Distinction
100,23,19,3.4,Second Class
86,15,21,3.3,Second Class
100,23,19,4.5,Distinction
71,17,13,1.9,Pass
85,22,13,6.6,First Class
82,17,15,5.7,Second Class
90,26,23,5.6,First Class
76,30,21,4.7,Distinction
72,20,22,5.9,First Class
100,20,18,6.9,Distinction
69,22,25,3.9,First Class
82,15,20,2.3,Second Class
94,20,11,5,First Class
77,23,18,2.1,First Class
42,20,20,3.5,Pass
64,20,25,2,Second Class
72,18,11,2.6,Second Class
85,29,13,0.8,First Class
83,28,9,8,Distinction
100,21,23,3.8,Distinction
67,14,18,7.3,First Class
74,24,17,7.7,Distinction
67,27,17,7.4,First Class
76,19,11,2.6,Second Class
84,18,19,5.1,First Class
68,22,12,7.3,First Class
77,30,22,7.9,Distinction
67,24,17,4.3,First Class
70,23,18,2,Second Class
87,22,18,4.4,First Class
66,13,19,2.3,Pass
44,19,19,5.2,Second Class
79,14,20,4.2,Second Class
82,9,23,4.3,Second Class
70,19,22,2.6,Second Class
67,25,21,6.4,Distinction
66,21,18,7.4,First Class
72,23,21,5.9,Distinction
69,27,16,5.2,First Class
55,21,18,5.3,First Class
40,14,21,6.5,First Class
73,28,25,0.5,Second Class
68,15,23,4.5,Second Class
94,25,15,6.4,First Class
65,28,14,4,Second Class
67,9,11,5.3,Second Class
85,19,16,1.6,Second Class
71,19,19,5.8,First Class
100,25,9,2.2,Second Class
62,21,23,5.2,Second Class
96,21,17,5.4,First Class
64,22,22,7.5,First Class
75,30,16,2.3,Second Class
84,21,17,5.5,First Class
83,29,19,6,Distinction
86,28,9,5.1,First Class
73,18,16,3.5,Second Class
85,21,21,4,Second Class
76,20,21,4.7,First Class
89,14,17,5.2,Pass
76,21,11,7.7,First Class
41,20,16,4.8,Pass
59,23,13,6.9,First Class
79,19,17,5.1,First Class
51,22,8,5.2,First Class
60,18,20,3.3,Pass
71,23,20,4.1,Second Class
71,18,18,7.7,Second Class
58,22,15,2.1,Pass
47,22,14,8.6,First Class
60,16,15,2.3,Pass
91,20,14,1.1,Pass
76,21,18,2.1,First Class
67,13,13,3.7,Pass
50,26,17,6.7,Distinction
71,19,19,1.5,Second Class
74,20,12,2.4,Second Class
82,22,8,3.6,Second Class
100,21,19,5,First Class
58,17,12,5.9,Second Class
72,19,21,9.4,First Class
83,23,18,6.4,Distinction
73,30,12,6.5,First Class
54,24,20,3.8,First Class
64,28,11,5.4,First Class
78,22,17,0.5,Pass
90,25,22,5.1,Distinction
73,27,15,3.9,First Class
53,30,24,5,Distinction
67,21,18,3.9,First Class
88,25,15,2,First Class
70,14,12,4.4,Second Class
81,18,13,3,Pass
77,28,25,8.5,Distinction
89,22,24,6,First Class
89,18,14,4.4,Second Class
44,27,25,2.5,First Class
50,22,14,5.4,Second Class
56,21,20,3.1,First Class
94,20,23,1.1,Second Class
83,27,21,7,Distinction
85,22,11,6.8,First Class
73,19,25,3.1,Second Class
64,22,22,5.8,First Class
87,27,17,4.1,First Class
47,30,14,2.7,Second Class
58,28,17,3,Second Class
60,28,11,5.2,First Class
81,23,16,0.5,Second Class
68,15,23,7.5,First Class
80,22,9,4.1,First Class
73,17,22,5.7,Second Class
66,20,13,6.5,Second Class
77,30,14,2.8,First Class
68,20,13,1.9,Pass
56,16,25,9.8,Distinction
70,17,19,2.9,Second Class
61,26,17,5.6,First Class
72,13,17,4.4,Second Class
68,17,17,7.9,First Class
100,9,14,4.5,Pass
34,22,13,3.4,Pass
72,19,19,3.4,First Class
93,14,13,6.8,Second Class
66,23,21,7.3,First Class
83,24,24,5,First Class
72,16,12,0.5,Second Class
100,13,20,5.8,First Class
84,21,25,6.8,First Class
59,29,16,4.6,First Class
76,28,13,0.5,Second Class
63,19,10,3.1,Pass
89,17,16,7.9,First Class
81,27,19,3.8,Second Class
94,23,14,4.3,First Class
48,24,21,3.7,Second Class
69,21,25,6.7,First Class
66,22,16,2.7,Second Class
82,17,12,4.7,Second Class
49,28,22,9.2,First Class
84,28,19,7.3,Distinction
68,24,19,6.4,Distinction
77,21,22,4.7,Second Class
89,11,21,6.7,First Class
92,20,18,2.1,Second Class
82,20,12,6.9,First Class
65,21,23,7.2,First Class
85,19,24,7.6,First Class
78,27,21,7,Distinction
80,14,23,4.3,Second Class
75,27,15,2.7,First Class
85,30,17,5.7,Distinction
60,14,14,3.7,Second Class
100,21,17,4.4,First Class
80,24,16,4.8,First Class
64,20,20,6,Second Class
90,22,21,4.6,Distinction
96,26,23,3.7,Distinction
57,22,15,1.2,Pass
68,24,16,6.9,First Class
61,29,22,4.5,Second Class
59,19,17,7.4,First Class
79,24,12,7.3,Distinction
83,30,16,5,Distinction
72,19,24,4.7,Second Class
75,11,21,7.7,Second Class
65,30,21,4.3,First Class
81,29,20,6.1,Distinction
98,25,13,4.2,Distinction
48,17,19,4.7,Pass
30,20,22,3,Pass
87,29,13,4.3,Second Class
75,18,16,0.5,Second Class
47,15,16,1,Fail
61,13,14,4.8,Second Class
88,10,16,3.3,Second Class
70,24,20,4.2,Second Class
69,25,19,4.6,First Class
74,16,18,6.7,First Class
66,23,16,2.3,Second Class
61,22,14,3.8,Second Class
76,24,15,4.4,First Class
69,22,15,4.9,First Class
87,26,22,5.3,Distinction
70,27,20,8.3,Distinction
85,24,15,3.7,First Class
56,30,18,6.2,Distinction
79,22,8,5.7,First Class
53,23,17,7.1,Second Class
67,21,14,5.4,Pass
41,22,19,3.3,Second Class
80,25,17,1.6,Second Class
77,30,11,9.6,Distinction
59,21,21,5.1,Second Class
85,27,17,8.4,Distinction
39,22,24,6,First Class
84,15,14,5,First Class
74,20,15,5.4,First Class
100,21,12,6.2,First Class
78,18,19,4,Second Class
66,27,11,4.8,Second Class
86,21,21,3.5,First Class
79,22,23,6.1,First Class
91,24,16,6.9,Distinction
67,25,18,5.2,Second Class
65,18,23,2.8,First Class
61,21,15,3.9,Pass
96,28,22,6.9,Distinction
94,18,19,7.9,Distinction
72,18,16,4.1,Fail
82,30,20,5.4,First Class
71,29,12,9.5,First Class
88,19,15,0.7,Second Class
81,27,15,7.7,Distinction
72,20,22,5.7,First Class
53,22,13,3.4,Pass
84,21,17,3,Second Class
60,22,20,5.8,First Class
65,12,18,2.9,Pass
57,21,20,4.3,Second Class
77,23,17,5.6,Distinction
100,26,16,5.7,First Class
75,30,17,5,First Class
92,21,18,4.3,Second Class
72,17,14,3.9,First Class
85,24,14,6.2,First Class
93,21,24,4.5,First Class
68,22,13,2.7,Pass
62,17,18,3.7,Second Class
95,25,11,5.8,First Class
73,17,18,4.5,Second Class
84,24,15,1.8,Second Class
73,21,18,6.1,Second Class
88,24,18,5.1,Distinction
82,22,11,4.5,First Class
56,21,18,6.6,Second Class
72,21,17,5.8,First Class
91,30,18,5.9,Distinction
74,17,16,3.7,Pass
77,19,18,4.4,First Class
97,25,16,4.3,First Class
69,20,22,5.6,First Class
78,21,15,5.5,Second Class
66,26,14,7.8,First Class
82,24,18,5.6,Distinction
71,20,16,9,First Class
91,18,19,7.2,First Class
62,26,22,3.8,Distinction
71,24,22,3.5,Distinction
64,22,15,9.7,First Class
88,28,15,6.8,First Class
49,20,17,0.5,Fail
74,24,20,5,First Class
84,15,20,2,Second Class
61,30,15,3.8,Second Class
84,16,16,5.9,Second Class
61,19,12,3.6,Second Class
52,22,17,5.4,Second Class
40,17,18,4.7,Pass
99,28,12,4.7,Distinction
99,11,20,4.2,Second Class
71,30,25,4.4,First Class
100,24,13,7.2,First Class
70,27,10,6.9,First Class
80,23,10,3.5,Second Class
83,22,10,4.5,Second Class
63,24,18,2,Second Class
84,23,16,5,Second Class
100,23,14,1.3,Pass
66,27,15,4.5,Second Class
97,30,6,4.3,First Class
82,19,15,6.3,Distinction
48,19,19,2.9,Pass
95,23,15,5.9,Second Class
77,24,22,6.3,First Class
72,21,22,7.5,Distinction
76,18,12,4.1,Second Class
77,28,16,1.7,Second Class
88,23,17,4.9,First Class
85,19,19,5,Second Class
98,21,20,6.2,First Class
68,23,15,3.3,Second Class
50,17,16,6.1,Pass
82,29,21,7.7,First Class
60,15,22,9.4,Second Class
73,15,9,3.1,Second Class
67,26,20,3.3,First Class
59,19,19,4.4,Second Class
87,28,10,5.1,Distinction
99,9,14,5.2,Second Class
86,24,19,4.5,First Class
89,25,18,5.2,First Class
64,23,21,3,First Class
81,21,17,6.3,First Class
96,13,20,6.4,Distinction
44,17,21,3.4,Second Class
91,17,13,3,Second Class
64,22,17,6,Second Class
83,26,21,5.9,First Class
77,15,18,6.8,Second Class
96,26,25,2.8,First Class
65,20,20,7.3,First Class
70,17,17,5.5,First Class
89,19,14,7.7,First Class
49,30,14,6.6,First Class
76,30,10,4.4,Second Class
71,20,21,5.9,First Class
98,26,13,4.3,First Class
78,20,20,3.9,First Class
66,19,20,2,Second Class
87,29,13,7.4,Distinction
76,23,12,7.6,First Class
65,19,25,4.6,First Class
51,21,19,3.9,Second Class
80,20,21,4.6,First Class
75,13,19,6.5,First Class
82,22,19,10.5,First Class
84,24,20,2.1,Distinction
94,21,24,5.3,Distinction
78,12,17,4.1,Pass
60,23,14,7,Second Class
71,24,19,3.9,First Class
59,18,11,7.6,Second Class
60,21,22,8.5,First Class
100,22,22,6.8,First Class
65,14,17,5.8,Second Class
56,24,20,5.3,Second Class
80,17,18,5.8,First Class
100,30,21,3.9,Distinction
54,22,17,4,Second Class
69,30,16,8.8,Distinction
60,23,25,4.7,First Class
83,26,20,1.6,Second Class
67,30,14,5.3,Distinction
83,29,20,1.8,First Class
71,13,9,7,First Class
59,21,23,7.1,Second Class
74,24,9,3.9,Second Class
40,18,18,5.8,Pass
83,21,16,3.8,Pass
88,24,17,3.9,Second Class
81,20,19,6.3,First Class
64,21,18,1.6,Second Class
53,20,25,3,Second Class
69,21,12,5.7,First Class
83,24,16,3.1,First Class
83,18,16,5,Distinction
92,29,20,3.8,Distinction
98,17,17,5.3,First Class
92,21,16,11.3,Distinction
54,23,15,4.7,Second Class
41,22,18,7.4,First Class
92,30,19,5.9,Distinction
84,20,8,4.7,First Class
88,21,14,4.5,First Class
57,17,17,5.4,Second Class
63,12,16,7,Pass
62,19,24,7.2,First Class
87,18,17,1.3,Pass
61,16,19,3,Second Class
83,23,22,5.5,First Class
69,25,12,6.8,First Class
84,23,14,8.2,First Class
80,19,14,5.2,Second Class
74,23,15,7,First Class
44,17,16,3,Pass
85,24,11,2.4,Second Class
70,26,14,5.1,Second Class
71,25,19,2.8,First Class
74,24,19,4.1,First Class
64,20,12,1.9,First Class
73,20,25,1.5,First Class
79,21,16,4.4,First Class
90,21,14,5,Second Class
63,20,14,3.7,Second Class
59,30,8,6.4,First Class
72,21,18,5.1,First Class
83,20,13,5.6,First Class
87,19,25,1.5,First Class
63,21,24,8.7,Distinction
87,24,11,2.6,Second Class
84,26,20,7.8,Distinction
76,12,21,4.6,Second Class
78,16,16,2.1,Fail
64,29,17,6.5,First Class
81,13,14,3.2,Pass
77,24,18,4.9,First Class
76,23,15,6.1,First Class
60,19,21,2.4,Second Class
90,25,21,6.2,First Class
48,30,20,3.2,First Class
65,21,19,3.6,First Class
70,20,22,2.7,Second Class
100,22,18,3.8,Second Class
72,30,21,6.1,Distinction
89,20,17,4.9,First Class
61,15,14,5.8,Pass
87,16,16,2.2,Second Class
52,12,17,5.6,Second Class
78,24,18,5.4,Distinction
72,17,22,6.9,First Class
67,24,24,4.1,First Class
55,17,21,6.3,Second Class
59,18,25,5.1,First Class
84,23,19,4.3,First Class
76,20,19,4.9,First Class
62,13,8,2.1,Fail
66,22,19,6.1,Second Class
100,21,15,4.8,First Class
80,19,23,1.9,Second Class
87,22,13,5.2,First Class
76,19,9,5.6,Pass
91,18,22,7,First Class
72,30,16,4.4,First Class
64,22,16,0.5,Pass
94,26,25,1.7,Second Class
91,17,21,3.7,First Class
70,21,23,6.5,First Class
33,30,17,5.5,Second Class
73,18,14,0.5,Second Class
78,18,22,4.6,Second Class
60,30,25,2.9,Second Class
71,26,17,4.7,First Class
78,21,16,4.3,First Class
75,22,17,6.9,First Class
100,18,11,5.5,First Class
69,30,19,7.5,Distinction
80,17,18,6.1,Second Class
40,28,20,5.9,First Class
87,15,15,3.8,First Class
71,19,20,6.9,First Class
81,16,15,3.1,Second Class
86,18,20,6.7,First Class
